id_pedido,data,hora_str,hora_int,mes,semana,dia_semana,turno,cidade_id,modalidade,canal,km,faixa_km,custo_por_km,sla_min,tempo_total_min,tempo_aceite_min,atraso_min,tempo_chegada_origem_min,tempo_espera_origem_min,tempo_deslocamento_min,status,cancelada_flag,insucesso_flag,motivo_cancelamento,otd_flag,valor_base_entregador,valor_dinamica,valor_entregador,evento_flag,evento_id,custo_operacional,valor_dinamica_empresa,valor_pago_empresa,margem_unitaria
P045739543,2025-10-01,10:03,10,2025-10,40,Qua,Manhã,11,Econômica,App,4.96,3-7,2.116935483870968,60,115.66,0.0,55.66,0.0,0.0,115.66,Cancelada,1,0,,0,10.5,0,10.5,0,,10.5,0,12.0,0.1428571428571428
P045739546,2025-10-01,09:03,9,2025-10,40,Qua,Manhã,11,Econômica,App,1.25,0-3,6.959999999999999,60,11.41,3.12,-48.59,4.73,0.0,3.56,Finalizada,0,0,,1,8.7,0,8.7,0,,8.7,0,10.2,0.1724137931034484
P045739548,2026-01-01,10:03,10,2026-01,1,Qui,Manhã,11,Econômica,Integrado,4.4,3-7,2.2636363636363637,60,116.82,0.0,56.81999999999999,0.0,0.0,116.82,Cancelada,1,0,,0,9.96,0,9.96,0,,9.96,0,11.46,0.1506024096385543
P045739807,2026-01-01,10:29,10,2026-01,1,Qui,Manhã,11,Integrada,Integrado,2.6,0-3,3.346153846153846,55,14.6,8.5,-40.4,0.05,0.0,6.05,Finalizada,0,0,,1,8.7,0,8.7,0,,8.7,0,10.2,0.1724137931034484
P045739828,2025-10-01,09:33,9,2025-10,40,Qua,Manhã,11,Econômica,App,1.71,0-3,6.842105263157895,60,6.25,0.64,-53.75,1.12,0.0,4.49,Finalizada,0,0,,1,11.7,0,11.7,0,,11.7,0,13.2,0.1282051282051282
P045739902,2025-10-01,09:38,9,2025-10,40,Qua,Manhã,11,Econômica,App,2.62,0-3,3.3206106870229,60,12.53,0.79,-47.47,2.48,0.0,9.26,Finalizada,0,0,,1,8.7,0,8.7,0,,8.7,0,10.2,0.1724137931034484
P045739965,2026-01-01,09:45,9,2026-01,1,Qui,Manhã,11,Econômica,App,1.4,0-3,6.214285714285714,60,8.95,2.28,-51.05,2.27,0.0,4.4,Finalizada,0,0,,1,8.7,0,8.7,0,,8.7,0,10.2,0.1724137931034484
P045740000,2026-01-01,10:49,10,2026-01,1,Qui,Manhã,11,Econômica,App,2.2,0-3,3.9545454545454537,60,14.15,6.47,-45.85,2.23,0.0,5.45,Finalizada,0,0,,1,8.7,0,8.7,0,,8.7,0,10.2,0.1724137931034484
P045740013,2026-01-01,10:50,10,2026-01,1,Qui,Manhã,11,Econômica,App,1.23,0-3,9.512195121951219,60,6.3,0.48,-53.7,2.82,0.0,3.0,Finalizada,0,0,,1,11.7,0,11.7,0,,11.7,0,13.2,0.1282051282051282
P045740026,2026-01-01,10:51,10,2026-01,1,Qui,Manhã,11,Integrada,App,1.5,0-3,5.8,55,7.23,0.37,-47.769999999999996,3.28,0.0,3.58,Finalizada,0,0,,1,8.7,0,8.7,0,,8.7,0,10.2,0.1724137931034484
P045740067,2026-01-01,10:55,10,2026-01,1,Qui,Manhã,11,Econômica,App,0.55,0-3,15.818181818181815,60,16.72,6.17,-43.28,7.1,0.0,3.45,Finalizada,0,0,,1,8.7,0,8.7,0,,8.7,0,10.2,0.1724137931034484
P045740071,2025-10-01,13:55,13,2025-10,40,Qua,Tarde,11,Integrada,App,6.03,3-7,1.9286898839137645,55,158.4,34.65,103.4,14.6,0.0,109.15,Insucesso,0,1,,0,11.63,0,11.63,0,,11.63,0,13.13,0.12897678417884784
P045740104,2026-01-01,09:57,9,2026-01,1,Qui,Manhã,11,Integrada,App,0.96,0-3,9.0625,55,5.05,0.65,-49.95,1.4,0.0,3.0,Cancelada,1,0,,0,8.7,0,8.7,0,,8.7,0,10.2,0.1724137931034484
P045740118,2025-10-01,10:58,10,2025-10,40,Qua,Manhã,11,Expressa,App,4.07,3-7,2.4029484029484025,40,40.29,12.54,0.28999999999999915,8.88,0.0,18.87,Insucesso,0,1,,0,9.78,0,9.78,0,,9.78,0,11.28,0.15337423312883436
P045740160,2026-01-01,10:01,10,2026-01,1,Qui,Manhã,11,Econômica,App,0.87,0-3,10.0,60,8.1,0.28,-51.9,4.27,0.0,3.55,Finalizada,0,0,,1,8.7,0,8.7,0,,8.7,0,10.2,0.1724137931034484
P045740170,2026-01-01,10:02,10,2026-01,1,Qui,Manhã,11,Integrada,Integrado,0.62,0-3,14.032258064516128,55,10.5,1.35,-44.5,5.8,0.0,3.35,Finalizada,0,0,,1,8.7,0,8.7,0,,8.7,0,10.2,0.1724137931034484
P045740172,2025-10-01,10:03,10,2025-10,40,Qua,Manhã,11,Econômica,App,1.84,0-3,4.728260869565217,60,11.69,0.51,-48.31,6.66,0.0,4.52,Finalizada,0,0,,1,8.7,0,8.7,0,,8.7,0,10.2,0.1724137931034484
P045740177,2025-10-01,10:03,10,2025-10,40,Qua,Manhã,11,Manual,App,1.12,0-3,10.44642857142857,70,15.98,1.61,-54.019999999999996,1.09,0.84,12.44,Finalizada,0,0,,1,11.7,0,11.7,0,,11.7,0,13.2,0.1282051282051282
P045740206,2025-10-01,10:06,10,2025-10,40,Qua,Manhã,11,Econômica,App,1.62,0-3,5.370370370370369,60,21.07,0.22,-38.93,10.79,0.0,10.06,Finalizada,0,0,,1,8.7,0,8.7,0,,8.7,0,10.2,0.1724137931034484
P045740208,2025-10-01,10:06,10,2025-10,40,Qua,Manhã,11,Econômica,App,1.13,0-3,7.699115044247788,60,7.98,0.5,-52.019999999999996,3.27,0.0,4.21,Finalizada,0,0,,1,8.7,0,8.7,0,,8.7,0,10.2,0.1724137931034484
P045740341,2025-10-01,10:19,10,2025-10,40,Qua,Manhã,11,Integrada,App,1.18,0-3,7.372881355932203,55,22.56,7.21,-32.44,9.01,0.0,6.34,Finalizada,0,0,,1,8.7,0,8.7,0,,8.7,0,10.2,0.1724137931034484
P045740354,2026-01-01,12:20,12,2026-01,1,Qui,Tarde,11,Integrada,Integrado,5.78,3-7,1.9411764705882353,55,120.0,0.0,65.0,0.0,0.0,120.0,Cancelada,1,0,Motivo 05,0,11.22,0,11.22,0,,11.22,0,12.72,0.1336898395721926
P045740476,2025-10-01,10:29,10,2025-10,40,Qua,Manhã,11,Econômica,App,0.55,0-3,15.818181818181815,60,8.45,0.15,-51.55,5.33,0.0,2.97,Finalizada,0,0,,1,8.7,0,8.7,0,,8.7,0,10.2,0.1724137931034484
P045740489,2026-01-01,10:31,10,2026-01,1,Qui,Manhã,11,Integrada,App,0.3,0-3,29.0,55,9.82,0.47,-45.18,6.35,0.0,3.0,Finalizada,0,0,,1,8.7,0,8.7,0,,8.7,0,10.2,0.1724137931034484
P045740541,2026-01-01,10:34,10,2026-01,1,Qui,Manhã,11,Econômica,Integrado,1.74,0-3,5.0,60,12.15,0.28,-47.85,4.27,0.0,7.6,Finalizada,0,0,,1,8.7,0,8.7,0,,8.7,0,10.2,0.1724137931034484
P045740576,2026-01-01,10:37,10,2026-01,1,Qui,Manhã,11,Integrada,Integrado,1.87,0-3,4.6524064171122985,55,9.62,0.17,-45.38,3.68,0.0,5.77,Finalizada,0,0,,1,8.7,0,8.7,0,,8.7,0,10.2,0.1724137931034484
P045740607,2026-01-01,11:39,11,2026-01,1,Qui,Manhã,11,Integrada,App,5.53,3-7,1.9963833634719708,55,31.82,8.12,-23.18,5.73,0.0,17.97,Finalizada,0,0,,1,11.04,0,11.04,0,,11.04,0,12.54,0.13586956521739135
P045740658,2026-01-01,12:42,12,2026-01,1,Qui,Tarde,11,Integrada,App,9.03,7-12,1.6146179401993357,55,120.0,0.0,65.0,0.0,0.0,120.0,Cancelada,1,0,Motivo 05,0,14.58,0,14.58,0,,14.58,0,16.08,0.10288065843621386
P045740671,2025-10-01,11:43,11,2025-10,40,Qua,Manhã,11,Manual,App,1.75,0-3,4.971428571428571,70,20.3,0.87,-49.7,9.28,0.38,9.77,Finalizada,0,0,,1,8.7,0,8.7,0,,8.7,0,10.2,0.1724137931034484
P045740701,2026-01-01,11:45,11,2026-01,1,Qui,Manhã,11,Econômica,Integrado,7.25,7-12,1.7282758620689653,60,69.82,35.0,9.819999999999993,5.95,0.0,28.87,Finalizada,0,0,,0,12.53,0,12.53,0,,12.53,0,14.03,0.11971268954509173
P045740719,2025-10-01,11:46,11,2025-10,40,Qua,Manhã,11,Expressa,App,2.39,0-3,3.640167364016736,40,27.47,7.31,-12.530000000000001,14.52,0.0,5.64,Finalizada,0,0,,1,8.7,0,8.7,0,,8.7,0,10.2,0.1724137931034484
P045740895,2026-01-01,11:00,11,2026-01,1,Qui,Manhã,11,Econômica,App,1.83,0-3,3.66120218579235,60,12.68,2.67,-47.32,3.77,0.0,6.24,Finalizada,0,0,,1,6.7,0,6.7,0,,6.7,0,8.2,0.22388059701492513
P045740918,2026-01-01,11:02,11,2026-01,1,Qui,Manhã,11,Expressa,App,0.45,0-3,19.333333333333332,40,43.15,35.0,3.1499999999999986,1.92,0.0,6.23,Finalizada,0,0,,0,8.7,0,8.7,0,,8.7,0,10.2,0.1724137931034484
P045740922,2025-10-01,12:03,12,2025-10,40,Qua,Tarde,11,Econômica,App,1.48,0-3,5.878378378378378,60,80.61,34.65,20.61,10.56,0.0,35.4,Finalizada,0,0,,0,8.7,0,8.7,0,,8.7,0,10.2,0.1724137931034484
P045740924,2025-10-01,11:03,11,2025-10,40,Qua,Manhã,11,Expressa,App,3.17,3-7,2.170347003154574,40,28.94,16.16,-11.059999999999999,4.53,0.0,8.25,Finalizada,0,0,,1,6.88,0,6.88,0,,6.88,0,8.379999999999999,0.21802325581395343
P045740961,2025-10-01,11:04,11,2025-10,40,Qua,Manhã,11,Econômica,App,3.18,3-7,2.7924528301886795,60,30.46,0.0,-29.54,0.0,0.0,30.46,Cancelada,1,0,Motivo 01,0,8.88,0,8.88,0,,8.88,0,10.38,0.16891891891891886
P045740985,2025-10-01,14:06,14,2025-10,40,Qua,Tarde,11,Manual,App,4.94,3-7,2.1255060728744937,70,158.4,34.65,88.4,6.07,0.0,117.68,Cancelada,1,0,Motivo 09,0,10.5,0,10.5,0,,10.5,0,12.0,0.1428571428571428
P045740989,2025-10-01,12:06,12,2025-10,40,Qua,Tarde,11,Expressa,App,3.77,3-7,2.4986737400530505,40,47.97,27.57,7.969999999999999,6.34,0.0,14.06,Finalizada,0,0,,0,9.42,0,9.42,0,,9.42,0,10.92,0.15923566878980888
P045741016,2026-01-01,12:09,12,2026-01,1,Qui,Tarde,11,Integrada,App,4.16,3-7,2.3509615384615383,55,90.12,0.0,35.120000000000005,0.0,0.0,90.12,Cancelada,1,0,,0,9.78,0,9.78,0,,9.78,0,11.28,0.15337423312883436
P045741029,2026-01-01,11:09,11,2026-01,1,Qui,Manhã,11,Econômica,Integrado,1.14,0-3,5.877192982456141,60,12.82,0.93,-47.18,6.03,0.0,5.86,Finalizada,0,0,,1,6.7,0,6.7,0,,6.7,0,8.2,0.22388059701492513
P045741033,2026-01-01,11:09,11,2026-01,1,Qui,Manhã,11,Integrada,App,2.65,0-3,2.528301886792453,55,26.6,3.33,-28.4,2.62,0.0,20.65,Finalizada,0,0,,1,6.7,0,6.7,0,,6.7,0,8.2,0.22388059701492513
P045741091,2026-01-01,11:14,11,2026-01,1,Qui,Manhã,11,Econômica,App,1.4,0-3,4.7857142857142865,60,11.43,2.75,-48.57,3.23,0.0,5.45,Finalizada,0,0,,1,6.7,0,6.7,0,,6.7,0,8.2,0.22388059701492513
P045741215,2026-01-01,11:23,11,2026-01,1,Qui,Manhã,11,Integrada,Integrado,3.0,0-3,2.9600000000000004,55,31.97,11.68,-23.03,11.68,0.0,8.61,Finalizada,0,0,,1,8.88,0,8.88,0,,8.88,0,10.38,0.16891891891891886
P045741249,2026-01-01,12:25,12,2026-01,1,Qui,Tarde,11,Econômica,App,1.63,0-3,4.110429447852761,60,10.5,0.52,-49.5,3.03,0.0,6.95,Finalizada,0,0,,1,6.7,0,6.7,0,,6.7,0,8.2,0.22388059701492513
P045741293,2026-01-01,11:27,11,2026-01,1,Qui,Manhã,11,Econômica,Integrado,0.91,0-3,7.362637362637362,60,10.6,1.18,-49.4,6.42,0.0,3.0,Finalizada,0,0,,1,6.7,0,6.7,0,,6.7,0,8.2,0.22388059701492513
P045741318,2025-10-01,11:29,11,2025-10,40,Qua,Manhã,11,Econômica,App,1.07,0-3,6.261682242990654,60,3.22,0.12,-56.78,0.1,0.0,3.0,Finalizada,0,0,,1,6.7,0,6.7,0,,6.7,0,8.2,0.22388059701492513
P045741325,2026-01-01,11:29,11,2026-01,1,Qui,Manhã,11,Econômica,Integrado,0.31,0-3,21.612903225806452,60,9.75,0.17,-50.25,2.78,0.0,6.8,Finalizada,0,0,,1,6.7,0,6.7,0,,6.7,0,8.2,0.22388059701492513
P045741346,2026-01-01,11:31,11,2026-01,1,Qui,Manhã,11,Manual,App,0.68,0-3,12.79411764705882,70,3.0,0.0,-67.0,0.0,0.0,3.0,Cancelada,1,0,Motivo 10,0,8.7,0,8.7,0,,8.7,0,10.2,0.1724137931034484
P045741458,2025-10-01,13:39,13,2025-10,40,Qua,Tarde,11,Econômica,App,2.27,0-3,3.832599118942731,60,71.76,34.65,11.760000000000005,4.11,0.0,33.0,Finalizada,0,0,,0,8.7,0,8.7,0,,8.7,0,10.2,0.1724137931034484
P045741530,2026-01-01,11:43,11,2026-01,1,Qui,Manhã,11,Manual,App,1.22,0-3,9.59016393442623,70,3.71,0.68,-66.29,0.03,0.0,3.0,Cancelada,1,0,Motivo 10,0,11.7,0,11.7,0,,11.7,0,13.2,0.1282051282051282
P045741577,2026-01-01,12:46,12,2026-01,1,Qui,Tarde,11,Manual,App,2.5,0-3,4.88,70,12.05,0.05,-57.95,0.12,0.05,11.83,Finalizada,0,0,,1,12.2,0,12.2,0,,12.2,0,13.7,0.12295081967213117
P045741590,2025-10-01,11:46,11,2025-10,40,Qua,Manhã,11,Econômica,App,0.3,0-3,29.0,60,6.44,0.28,-53.56,3.19,0.0,2.97,Finalizada,0,0,,1,8.7,0,8.7,0,,8.7,0,10.2,0.1724137931034484
P045741608,2026-01-01,12:47,12,2026-01,1,Qui,Tarde,11,Econômica,App,0.61,0-3,14.262295081967212,60,12.8,0.13,-47.2,9.57,0.0,3.1,Finalizada,0,0,,1,8.7,0,8.7,0,,8.7,0,10.2,0.1724137931034484
P045741610,2025-10-01,11:48,11,2025-10,40,Qua,Manhã,11,Econômica,Integrado,0.61,0-3,14.262295081967212,60,6.79,0.43,-53.21,3.12,0.0,3.24,Finalizada,0,0,,1,8.7,0,8.7,0,,8.7,0,10.2,0.1724137931034484
P045741656,2025-10-01,12:50,12,2025-10,40,Qua,Tarde,11,Econômica,App,0.38,0-3,22.89473684210526,60,29.23,18.64,-30.77,7.62,0.0,2.97,Finalizada,0,0,,1,8.7,0,8.7,0,,8.7,0,10.2,0.1724137931034484
P045741668,2026-01-01,12:51,12,2026-01,1,Qui,Tarde,11,Integrada,Integrado,0.71,0-3,12.253521126760562,55,18.67,0.62,-36.33,14.4,0.0,3.65,Finalizada,0,0,,1,8.7,0,8.7,0,,8.7,0,10.2,0.1724137931034484
P045741672,2026-01-01,12:51,12,2026-01,1,Qui,Tarde,11,Econômica,App,1.49,0-3,5.838926174496644,60,12.41,0.88,-47.59,8.53,0.0,3.0,Finalizada,0,0,,1,8.7,0,8.7,0,,8.7,0,10.2,0.1724137931034484
P045741721,2025-10-01,14:55,14,2025-10,40,Qua,Tarde,11,Econômica,,4.04,3-7,2.4207920792079207,60,118.8,0.0,58.8,0.0,0.0,118.8,Cancelada,1,0,Motivo 05,0,9.78,0,9.78,0,,9.78,0,11.28,0.15337423312883436
P045741740,2026-01-01,12:56,12,2026-01,1,Qui,Tarde,11,Integrada,App,2.63,0-3,3.307984790874525,55,15.77,4.8,-39.230000000000004,4.12,0.0,6.85,Finalizada,0,0,,1,8.7,0,8.7,0,,8.7,0,10.2,0.1724137931034484
P045741752,2025-10-01,12:56,12,2025-10,40,Qua,Tarde,11,Expressa,,0.88,0-3,9.886363636363635,40,9.9,0.79,-30.1,3.76,0.0,5.35,Finalizada,0,0,,1,8.7,0,8.7,0,,8.7,0,10.2,0.1724137931034484
P045741754,2026-01-01,12:56,12,2026-01,1,Qui,Tarde,11,Integrada,App,1.36,0-3,6.39705882352941,55,8.58,0.9,-46.42,4.68,0.0,3.0,Finalizada,0,0,,1,8.7,0,8.7,0,,8.7,0,10.2,0.1724137931034484
P045741792,2025-10-01,12:00,12,2025-10,40,Qua,Tarde,11,Integrada,App,3.12,3-7,2.8461538461538463,55,41.21,0.76,-13.79,10.33,0.0,30.12,Finalizada,0,0,,1,8.88,0,8.88,0,,8.88,0,10.38,0.16891891891891886
P045741796,2025-10-01,12:00,12,2025-10,40,Qua,Tarde,11,Econômica,App,0.48,0-3,18.125,60,6.44,0.37,-53.56,2.89,0.0,3.18,Finalizada,0,0,,1,8.7,0,8.7,0,,8.7,0,10.2,0.1724137931034484
P045741856,2026-01-01,13:03,13,2026-01,1,Qui,Tarde,11,Manual,App,4.3,3-7,2.3162790697674422,70,29.88,3.12,-40.120000000000005,0.25,23.51,3.0,Finalizada,0,0,,1,9.96,0,9.96,0,,9.96,0,11.46,0.1506024096385543
P045742041,2026-01-01,12:13,12,2026-01,1,Qui,Tarde,11,Econômica,Integrado,1.03,0-3,8.446601941747572,60,40.95,7.52,-19.049999999999997,6.72,0.0,26.71,Finalizada,0,0,,1,8.7,0,8.7,0,,8.7,0,10.2,0.1724137931034484
P045742081,2026-01-01,13:15,13,2026-01,1,Qui,Tarde,11,Integrada,App,3.32,3-7,2.7289156626506026,55,80.65,35.0,25.650000000000006,10.72,0.0,34.93,Cancelada,1,0,Motivo 06,0,9.06,0,9.06,0,,9.06,0,10.56,0.16556291390728473
P045742091,2026-01-01,12:16,12,2026-01,1,Qui,Tarde,11,Econômica,Integrado,4.31,3-7,2.310904872389792,60,23.83,3.85,-36.17,12.7,0.0,7.28,Finalizada,0,0,,1,9.96,0,9.96,0,,9.96,0,11.46,0.1506024096385543
P045742103,2026-01-01,13:16,13,2026-01,1,Qui,Tarde,11,Expressa,App,2.7,0-3,3.222222222222222,40,55.23,29.47,15.229999999999997,16.4,0.0,9.36,Insucesso,0,1,,0,8.7,0,8.7,0,,8.7,0,10.2,0.1724137931034484
P045742172,2025-10-01,13:20,13,2025-10,40,Qua,Tarde,11,Manual,App,1.97,0-3,5.939086294416243,70,14.24,0.12,-55.76,3.2,3.19,7.73,Finalizada,0,0,,1,11.7,0,11.7,0,,11.7,0,13.2,0.1282051282051282
P045742195,2026-01-01,13:22,13,2026-01,1,Qui,Tarde,11,Econômica,Integrado,2.19,0-3,5.570776255707762,60,68.87,10.65,8.870000000000005,6.12,0.0,52.1,Finalizada,0,0,,0,12.2,0,12.2,0,,12.2,0,13.7,0.12295081967213117
P045742287,2025-10-01,12:27,12,2025-10,40,Qua,Tarde,11,Econômica,App,2.84,0-3,3.0633802816901405,60,21.67,2.33,-38.33,5.42,0.0,13.92,Finalizada,0,0,,1,8.7,0,8.7,0,,8.7,0,10.2,0.1724137931034484
P045742372,2025-10-01,13:33,13,2025-10,40,Qua,Tarde,11,Integrada,App,0.92,0-3,9.456521739130434,55,58.05,34.65,3.049999999999997,3.34,0.0,20.06,Finalizada,0,0,,0,8.7,0,8.7,0,,8.7,0,10.2,0.1724137931034484
P045742434,2026-01-01,12:36,12,2026-01,1,Qui,Tarde,11,Integrada,App,1.16,0-3,7.5,55,6.97,2.27,-48.03,1.7,0.0,3.0,Finalizada,0,0,,1,8.7,0,8.7,0,,8.7,0,10.2,0.1724137931034484
P045742501,2026-01-01,14:40,14,2026-01,1,Qui,Tarde,11,Expressa,App,4.16,3-7,2.3509615384615383,40,120.0,0.0,80.0,0.0,0.0,120.0,Cancelada,1,0,Motivo 05,0,9.78,0,9.78,0,,9.78,0,11.28,0.15337423312883436
P045742607,2026-01-01,12:42,12,2026-01,1,Qui,Tarde,11,Manual,App,0.99,0-3,11.313131313131313,70,3.16,0.1,-66.84,0.03,0.03,3.0,Finalizada,0,0,,1,11.2,0,11.2,0,,11.2,0,12.7,0.1339285714285714
P045742637,2026-01-01,14:43,14,2026-01,1,Qui,Tarde,11,Econômica,App,4.61,3-7,2.2386117136659434,60,120.0,0.0,60.0,0.0,0.0,120.0,Cancelada,1,0,Motivo 05,0,10.32,0,10.32,0,,10.32,0,11.82,0.14534883720930236
P045742647,2026-01-01,13:44,13,2026-01,1,Qui,Tarde,11,Integrada,Integrado,0.3,0-3,29.0,55,26.84,0.22,-28.16,23.62,0.0,3.0,Finalizada,0,0,,1,8.7,0,8.7,0,,8.7,0,10.2,0.1724137931034484
P045742719,2025-10-01,13:47,13,2025-10,40,Qua,Tarde,11,Econômica,App,4.66,3-7,2.2145922746781115,60,24.7,0.0,-35.3,0.0,0.0,24.7,Cancelada,1,0,,0,10.32,0,10.32,0,,10.32,0,11.82,0.14534883720930236
P045742722,2026-01-01,13:47,13,2026-01,1,Qui,Tarde,11,Integrada,Integrado,1.21,0-3,7.190082644628099,55,17.92,0.32,-37.08,8.75,0.0,8.85,Cancelada,1,0,Motivo 06,0,8.7,0,8.7,0,,8.7,0,10.2,0.1724137931034484
P045742726,2025-10-01,13:48,13,2025-10,40,Qua,Tarde,11,Expressa,App,0.99,0-3,8.787878787878787,40,18.68,0.43,-21.32,15.28,0.0,2.97,Finalizada,0,0,,1,8.7,0,8.7,0,,8.7,0,10.2,0.1724137931034484
P045742795,2026-01-01,12:52,12,2026-01,1,Qui,Tarde,11,Econômica,App,0.97,0-3,8.969072164948454,60,7.08,0.1,-52.92,3.98,0.0,3.0,Finalizada,0,0,,1,8.7,0,8.7,0,,8.7,0,10.2,0.1724137931034484
P045742811,2026-01-01,14:53,14,2026-01,1,Qui,Tarde,11,Expressa,App,2.97,0-3,2.929292929292929,40,64.13,30.08,24.129999999999995,6.17,0.0,27.88,Insucesso,0,1,,0,8.7,0,8.7,0,,8.7,0,10.2,0.1724137931034484
P045742885,2025-10-01,13:57,13,2025-10,40,Qua,Tarde,11,Econômica,App,1.52,0-3,5.723684210526315,60,24.39,11.09,-35.61,10.33,0.0,2.97,Finalizada,0,0,,1,8.7,0,8.7,0,,8.7,0,10.2,0.1724137931034484
P045742931,2025-10-01,13:00,13,2025-10,40,Qua,Tarde,11,Manual,App,3.15,3-7,4.0888888888888895,70,56.66,0.0,-13.340000000000003,0.0,0.0,56.66,Cancelada,1,0,Motivo 04,0,12.88,0,12.88,0,,12.88,0,14.38,0.11645962732919246
P045742980,2026-01-01,13:03,13,2026-01,1,Qui,Tarde,11,Manual,App,0.79,0-3,14.177215189873417,70,10.12,0.1,-59.88,0.03,0.15,9.84,Finalizada,0,0,,1,11.2,0,11.2,0,,11.2,0,12.7,0.1339285714285714
P045743002,2026-01-01,13:04,13,2026-01,1,Qui,Tarde,11,Integrada,App,1.7,0-3,5.117647058823529,55,9.42,3.35,-45.58,1.58,0.0,4.49,Finalizada,0,0,,1,8.7,0,8.7,0,,8.7,0,10.2,0.1724137931034484
P045743004,2025-10-01,13:04,13,2025-10,40,Qua,Tarde,11,Econômica,App,0.56,0-3,15.535714285714283,60,13.37,0.32,-46.63,10.08,0.0,2.97,Finalizada,0,0,,1,8.7,0,8.7,0,,8.7,0,10.2,0.1724137931034484
P045743016,2026-01-01,14:05,14,2026-01,1,Qui,Tarde,11,Expressa,App,2.95,0-3,2.949152542372881,40,57.2,0.0,17.200000000000003,0.0,0.0,57.2,Cancelada,1,0,,0,8.7,0,8.7,0,,8.7,0,10.2,0.1724137931034484
P045743099,2026-01-01,13:09,13,2026-01,1,Qui,Tarde,11,Manual,App,1.3,0-3,9.0,70,28.58,3.3,-41.42,13.28,9.0,3.0,Finalizada,0,0,,1,11.7,0,11.7,0,,11.7,0,13.2,0.1282051282051282
